FinalID,LifeStageCode,TaxonomicLevelCode,TaxonomicLevelName,Phylum,Class,Order,Family,Subfamily,Tribe,Genus,Species,FunctionalFeedingGroup,ToleranceValue,Subphylum,Superclass,Subclass,Superorder,Suborder,Superfamily,GenusComplex,SpeciesComplex,Subspecies,SAFIT1,SAFIT2,SAFIT1__OTU_a_original,SAFIT1__OTU_a,OTU_Justification,Required_work,Notes,Invasive,Habit
Ablabesmyia cinctipes,A,60,Species,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneuriini,Ablabesmyia,Ablabesmyia cinctipes,,NA,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,,Tanypodinae,,,,0,SP
Ablabesmyia cinctipes,L,60,Species,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneuriini,Ablabesmyia,Ablabesmyia cinctipes,OM,8,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,,Tanypodinae,,,,0,SP
Ablabesmyia cinctipes,P,60,Species,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneuriini,Ablabesmyia,Ablabesmyia cinctipes,OM,8,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,,Tanypodinae,,,,0,SP
Ablabesmyia mallochi,A,60,Species,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneuriini,Ablabesmyia,Ablabesmyia mallochi,,NA,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,,Tanypodinae,,,,0,SP
Ablabesmyia mallochi,L,60,Species,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneuriini,Ablabesmyia,Ablabesmyia mallochi,OM,8,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,,Tanypodinae,,,,0,SP
Ablabesmyia mallochi,P,60,Species,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneuriini,Ablabesmyia,Ablabesmyia mallochi,OM,8,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,,Tanypodinae,,,,0,SP
Ablabesmyia monilis,A,60,Species,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneuriini,Ablabesmyia,Ablabesmyia monilis,,NA,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,,Tanypodinae,,,,0,SP
Ablabesmyia monilis,L,60,Species,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneuriini,Ablabesmyia,Ablabesmyia monilis,CG,8,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,,Tanypodinae,,,,0,SP
Ablabesmyia monilis,P,60,Species,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneuriini,Ablabesmyia,Ablabesmyia monilis,CG,8,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,,Tanypodinae,,,,0,SP
Ablabesmyia peleensis,A,60,Species,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneuriini,Ablabesmyia,Ablabesmyia peleensis,,NA,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,,Tanypodinae,,,,0,SP
Ablabesmyia peleensis,L,60,Species,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneuriini,Ablabesmyia,Ablabesmyia peleensis,OM,8,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,,Tanypodinae,,,,0,SP
Ablabesmyia peleensis,P,60,Species,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneuriini,Ablabesmyia,Ablabesmyia peleensis,OM,8,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,,Tanypodinae,,,,0,SP
Ablabesmyia pulchripennis,A,60,Species,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneuriini,Ablabesmyia,Ablabesmyia pulchripennis,,NA,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,,Tanypodinae,,,,0,SP
Ablabesmyia pulchripennis,L,60,Species,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneuriini,Ablabesmyia,Ablabesmyia pulchripennis,CG,8,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,,Tanypodinae,,,,0,SP
Ablabesmyia pulchripennis,P,60,Species,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneuriini,Ablabesmyia,Ablabesmyia pulchripennis,CG,8,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,,Tanypodinae,,,,0,SP
Ablabesmyia,L,50,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,,CG,8,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,Tanypodinae,Tanypodinae,,,,0,SP
Ablabesmyia,P,50,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,,CG,8,Hexapoda,NA,,,,NA,,,,Chironomidae,Ablabesmyia,Tanypodinae,Tanypodinae,,,,0,SP
Acalyptonotidae,X,40,Family,Arthropoda,Arachnida,Trombidiformes,Acalyptonotidae,,,,,P,NA,Chelicerata,NA,Acari,,,NA,,,,Acalyptonotidae,Acalyptonotidae,,Acari,,,,0,NA
Acalyptonotus pacificus,X,60,Species,Arthropoda,Arachnida,Trombidiformes,Acalyptonotidae,,,Acalyptonotus,Acalyptonotus pacificus,P,NA,Chelicerata,NA,Acari,,,NA,,,,Acalyptonotus,Acalyptonotus,,Acari,,,,0,NA
Acalyptonotus,X,50,Genus,Arthropoda,Arachnida,Trombidiformes,Acalyptonotidae,,,Acalyptonotus,,P,NA,Chelicerata,NA,Acari,,,NA,,,,Acalyptonotus,Acalyptonotus,,Acari,,,,0,NA
Acanthomysis aspera,X,60,Species,Arthropoda,Malacostraca,Mysida,Mysidae,,,Acanthomysis,Acanthomysis aspera,,NA,Crustacea,NA,,,,NA,,,,Acanthomysis,Acanthomysis,,Unambiguous_NotAtRefCal,,,,0,NA
Acanthomysis hwanhaiensis,X,60,Species,Arthropoda,Malacostraca,Mysida,Mysidae,,,Acanthomysis,Acanthomysis hwanhaiensis,,NA,Crustacea,NA,,,,NA,,,,Acanthomysis,Acanthomysis,,Unambiguous_NotAtRefCal,,,,0,NA
Acanthomysis,X,50,Genus,Arthropoda,Malacostraca,Mysida,Mysidae,,,Acanthomysis,,,NA,Crustacea,NA,,,,NA,,,,Acanthomysis,Acanthomysis,,Unambiguous_NotAtRefCal,,,,0,NA
Acari,X,23,Subclass,Arthropoda,Arachnida,,,,,,,P,5,Chelicerata,NA,Acari,,,NA,,,,Acari,Acari,Acari,Acari,,,,0,NA
Acentrella insignificans,A,60,Species,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acentrella,Acentrella insignificans,,4,Hexapoda,NA,,,,NA,,,,Acentrella,Acentrella insignificans,Acentrella,Acentrella,,,,0,SW
Acentrella insignificans,L,60,Species,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acentrella,Acentrella insignificans,CG,4,Hexapoda,NA,,,,NA,,,,Acentrella,Acentrella insignificans,Acentrella,Acentrella,,,,0,SW
Acentrella turbida,A,60,Species,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acentrella,Acentrella turbida,,4,Hexapoda,NA,,,,NA,,,,Acentrella,Acentrella turbida,Acentrella,Acentrella,,,,0,SW
Acentrella turbida,L,60,Species,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acentrella,Acentrella turbida,CG,4,Hexapoda,NA,,,,NA,,,,Acentrella,Acentrella turbida,Acentrella,Acentrella,,,,0,SW
Acentrella,A,50,Genus,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acentrella,,,4,Hexapoda,NA,,,,NA,,,,Acentrella,Acentrella,Acentrella,Acentrella,,,,0,SW
Acentrella,L,50,Genus,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acentrella,,CG,4,Hexapoda,NA,,,,NA,,,,Acentrella,Acentrella,Acentrella,Acentrella,,,,0,SW
Acerpenna pygmaea,A,60,Species,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acerpenna,Acerpenna pygmaea,,NA,Hexapoda,NA,,,,NA,,,,Acerpenna,Acerpenna,,Unambiguous_NotAtRefCal,,,,0,SW
Acerpenna pygmaea,L,60,Species,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acerpenna,Acerpenna pygmaea,OM,NA,Hexapoda,NA,,,,NA,,,,Acerpenna,Acerpenna,,Unambiguous_NotAtRefCal,,,,0,SW
Acerpenna sulfurosus,A,60,Species,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acerpenna,Acerpenna sulfurosus,,NA,Hexapoda,NA,,,,NA,,,,Acerpenna,Acerpenna sulfurosus,,Unambiguous_NotAtRefCal,,,,0,SW
Acerpenna sulfurosus,L,60,Species,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acerpenna,Acerpenna sulfurosus,SH,NA,Hexapoda,NA,,,,NA,,,,Acerpenna,Acerpenna sulfurosus,,Unambiguous_NotAtRefCal,,,,0,SW
Acerpenna thermophilus,A,60,Species,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acerpenna,Acerpenna thermophilus,,4,Hexapoda,NA,,,,NA,,,,Acerpenna,Acerpenna thermophilus,,Unambiguous_NotAtRefCal,,,,0,SW
Acerpenna thermophilus,L,60,Species,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acerpenna,Acerpenna thermophilus,SH,4,Hexapoda,NA,,,,NA,,,,Acerpenna,Acerpenna thermophilus,,Unambiguous_NotAtRefCal,,,,0,SW
Acerpenna,A,50,Genus,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acerpenna,,,NA,Hexapoda,NA,,,,NA,,,,Acerpenna,Acerpenna,,Unambiguous_NotAtRefCal,,,,0,SW
Acerpenna,L,50,Genus,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,Acerpenna,,SH,NA,Hexapoda,NA,,,,NA,,,,Acerpenna,Acerpenna,,Unambiguous_NotAtRefCal,,,,0,SW
Aciculata,X,30,Order,Annelida,Polychaeta,Aciculata,,,,,,,NA,Aclitellata,NA,Palpata,,,NA,,,,Aciculata,Aciculata,,Unambiguous_NotAtRefCal,,,,0,NA
Acilius abbreviatus,A,60,Species,Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscinae,,Acilius,Acilius abbreviatus,P,5,Hexapoda,NA,,,,NA,,,,Acilius abbreviatus,Acilius abbreviatus,,Unambiguous_NotAtRefCal,,,,0,SW
Acilius abbreviatus,L,60,Species,Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscinae,,Acilius,Acilius abbreviatus,P,5,Hexapoda,NA,,,,NA,,,,Acilius abbreviatus,Acilius abbreviatus,,Unambiguous_NotAtRefCal,,,,0,SW
Acilius,A,50,Genus,Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscinae,,Acilius,,P,5,Hexapoda,NA,,,,NA,,,,Acilius,Acilius,,Unambiguous_NotAtRefCal,,,,0,SW
Acilius,L,50,Genus,Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscinae,,Acilius,,P,5,Hexapoda,NA,,,,NA,,,,Acilius,Acilius,,Unambiguous_NotAtRefCal,,,,0,SW
Aclitellata,X,13,Subphylum,Annelida,,,,,,,,,NA,Aclitellata,NA,,,,NA,,,,Exclude,Exclude,,Exclude,"Not in STE, not valid taxonomic group",,,0,NA
Acneus beeri,A,60,Species,Arthropoda,Insecta,Coleoptera,Psephenidae,,,Acneus,Acneus beeri,,NA,Hexapoda,NA,,,,NA,,,,Acneus,Acneus,,Acneus,,,,0,CN
Acneus beeri,L,60,Species,Arthropoda,Insecta,Coleoptera,Psephenidae,,,Acneus,Acneus beeri,SC,NA,Hexapoda,NA,,,,NA,,,,Acneus,Acneus,,Acneus,,,,0,CN
Acneus burnelli,A,60,Species,Arthropoda,Insecta,Coleoptera,Psephenidae,,,Acneus,Acneus burnelli,,NA,Hexapoda,NA,,,,NA,,,,Acneus,Acneus,,Acneus,,,,0,CN
Acneus burnelli,L,60,Species,Arthropoda,Insecta,Coleoptera,Psephenidae,,,Acneus,Acneus burnelli,SC,NA,Hexapoda,NA,,,,NA,,,,Acneus,Acneus,,Acneus,,,,0,CN
Acneus oregonensis,A,60,Species,Arthropoda,Insecta,Coleoptera,Psephenidae,,,Acneus,Acneus oregonensis,,NA,Hexapoda,NA,,,,NA,,,,Acneus,Acneus,,Acneus,,,,0,CN
Acneus oregonensis,L,60,Species,Arthropoda,Insecta,Coleoptera,Psephenidae,,,Acneus,Acneus oregonensis,SC,NA,Hexapoda,NA,,,,NA,,,,Acneus,Acneus,,Acneus,,,,0,CN
Acneus quadrimaculatus,A,60,Species,Arthropoda,Insecta,Coleoptera,Psephenidae,,,Acneus,Acneus quadrimaculatus,,4,Hexapoda,NA,,,,NA,,,,Acneus,Acneus,Acneus,Acneus,,,,0,CN
Acneus quadrimaculatus,L,60,Species,Arthropoda,Insecta,Coleoptera,Psephenidae,,,Acneus,Acneus quadrimaculatus,SC,4,Hexapoda,NA,,,,NA,,,,Acneus,Acneus,Acneus,Acneus,,,,0,CN
Acneus,A,50,Genus,Arthropoda,Insecta,Coleoptera,Psephenidae,,,Acneus,,,4,Hexapoda,NA,,,,NA,,,,Acneus,Acneus,Acneus,Acneus,,,,0,CN
Acneus,L,50,Genus,Arthropoda,Insecta,Coleoptera,Psephenidae,,,Acneus,,SC,4,Hexapoda,NA,,,,NA,,,,Acneus,Acneus,Acneus,Acneus,,,,0,CN
Acricotopus,L,50,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Acricotopus,,CG,5,Hexapoda,NA,,,,NA,,,,Chironomidae,Acricotopus,Orthocladiinae,Orthocladiinae,,,,0,SP
Acricotopus,P,50,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,,Acricotopus,,CG,5,Hexapoda,NA,,,,NA,,,,Chironomidae,Acricotopus,Orthocladiinae,Orthocladiinae,,,,0,SP
Adenophorea,X,20,Class,Nematoda,Adenophorea,,,,,,,P,5,,NA,,,,NA,,,,Nematoda,Nematoda,,Nematoda,,,,0,NA
Aedes aegypti,L,60,Species,Arthropoda,Insecta,Diptera,Culicidae,,,Aedes,Aedes aegypti,CF,8,Hexapoda,NA,,,,NA,,,,Aedes,Aedes,,Culicidae,,,,1,SW
Aedes aegypti,P,60,Species,Arthropoda,Insecta,Diptera,Culicidae,,,Aedes,Aedes aegypti,CF,8,Hexapoda,NA,,,,NA,,,,Aedes,Aedes,,Culicidae,,,,1,SW
Aedes cinereus,L,60,Species,Arthropoda,Insecta,Diptera,Culicidae,,,Aedes,Aedes cinereus,CF,8,Hexapoda,NA,,,,NA,,,,Aedes,Aedes,,Culicidae,,,,0,SW
Aedes cinereus,P,60,Species,Arthropoda,Insecta,Diptera,Culicidae,,,Aedes,Aedes cinereus,CF,8,Hexapoda,NA,,,,NA,,,,Aedes,Aedes,,Culicidae,,,,0,SW
Aedes vexans,L,60,Species,Arthropoda,Insecta,Diptera,Culicidae,,,Aedes,Aedes vexans,CF,8,Hexapoda,NA,,,,NA,,,,Aedes,Aedes,,Culicidae,,,,0,SW
Aedes vexans,P,60,Species,Arthropoda,Insecta,Diptera,Culicidae,,,Aedes,Aedes vexans,CF,8,Hexapoda,NA,,,,NA,,,,Aedes,Aedes,,Culicidae,,,,0,SW
Aedes,L,50,Genus,Arthropoda,Insecta,Diptera,Culicidae,,,Aedes,,CF,8,Hexapoda,NA,,,,NA,,,,Aedes,Aedes,Culicidae,Culicidae,,,,0,SW
Aedes,P,50,Genus,Arthropoda,Insecta,Diptera,Culicidae,,,Aedes,,CF,8,Hexapoda,NA,,,,NA,,,,Aedes,Aedes,Culicidae,Culicidae,,,,0,SW
Aeolosoma,X,50,Genus,Annelida,Polychaeta,,Aeolosomatidae,,,Aeolosoma,,,NA,Aclitellata,NA,Scolecida,,,NA,,,,Aeolosoma,Aeolosoma,,Unambiguous_NotAtRefCal,,,,0,NA
Aeolosomatidae,X,40,Family,Annelida,Polychaeta,,Aeolosomatidae,,,,,,NA,Aclitellata,NA,Scolecida,,,NA,,,,Aeolosomatidae,Aeolosomatidae,,Unambiguous_NotAtRefCal,,,,0,NA
Aeshna canadensis,L,60,Species,Arthropoda,Insecta,Odonata,Aeshnidae,,,Aeshna,Aeshna canadensis,P,5,Hexapoda,NA,,,,NA,,,,Aeshna,Aeshna,,Aeshna_Rhionaeshna,Recommended by A. Rehn,Rename in input,,0,CB
Aeshna constricta,L,60,Species,Arthropoda,Insecta,Odonata,Aeshnidae,,,Aeshna,Aeshna constricta,P,5,Hexapoda,NA,,,,NA,,,,Aeshna,Aeshna,,Aeshna_Rhionaeshna,Recommended by A. Rehn,Rename in input,,0,CB
Aeshna eremita,L,60,Species,Arthropoda,Insecta,Odonata,Aeshnidae,,,Aeshna,Aeshna eremita,P,5,Hexapoda,NA,,,,NA,,,,Aeshna,Aeshna,,Aeshna_Rhionaeshna,Recommended by A. Rehn,Rename in input,,0,CB
Aeshna interrupta,L,60,Species,Arthropoda,Insecta,Odonata,Aeshnidae,,,Aeshna,Aeshna interrupta,P,5,Hexapoda,NA,,,,NA,,,,Aeshna,Aeshna,,Aeshna_Rhionaeshna,Recommended by A. Rehn,Rename in input,,0,CB
Aeshna juncea,L,60,Species,Arthropoda,Insecta,Odonata,Aeshnidae,,,Aeshna,Aeshna juncea,P,5,Hexapoda,NA,,,,NA,,,,Aeshna,Aeshna,,Aeshna_Rhionaeshna,Recommended by A. Rehn,Rename in input,,0,CB
Aeshna palmata,L,60,Species,Arthropoda,Insecta,Odonata,Aeshnidae,,,Aeshna,Aeshna palmata,P,5,Hexapoda,NA,,,,NA,,,,Aeshna,Aeshna,,Aeshna_Rhionaeshna,Recommended by A. Rehn,Rename in input,,0,CB
Aeshna persephone,L,60,Species,Arthropoda,Insecta,Odonata,Aeshnidae,,,Aeshna,Aeshna persephone,P,5,Hexapoda,NA,,,,NA,,,,Aeshna,Aeshna,,Aeshna_Rhionaeshna,Recommended by A. Rehn,Rename in input,,0,CB
Aeshna subarctica,L,60,Species,Arthropoda,Insecta,Odonata,Aeshnidae,,,Aeshna,Aeshna subarctica,P,5,Hexapoda,NA,,,,NA,,,,Aeshna,Aeshna,,Aeshna_Rhionaeshna,Recommended by A. Rehn,Rename in input,,0,CB
Aeshna tuberculifera,L,60,Species,Arthropoda,Insecta,Odonata,Aeshnidae,,,Aeshna,Aeshna tuberculifera,P,5,Hexapoda,NA,,,,NA,,,,Aeshna,Aeshna,,Aeshna_Rhionaeshna,Recommended by A. Rehn,Rename in input,,0,CB
Aeshna umbrosa,L,60,Species,Arthropoda,Insecta,Odonata,Aeshnidae,,,Aeshna,Aeshna umbrosa,P,5,Hexapoda,NA,,,,NA,,,,Aeshna,Aeshna,,Aeshna_Rhionaeshna,Recommended by A. Rehn,Rename in input,,0,CB
Aeshna walkeri,L,60,Species,Arthropoda,Insecta,Odonata,Aeshnidae,,,Aeshna,Aeshna walkeri,P,5,Hexapoda,NA,,,,NA,,,,Aeshna,Aeshna,,Aeshna_Rhionaeshna,Recommended by A. Rehn,Rename in input,,0,CB
Aeshna,L,50,Genus,Arthropoda,Insecta,Odonata,Aeshnidae,,,Aeshna,,P,5,Hexapoda,NA,,,,NA,,,,Aeshna,Aeshna,Aeshna,Aeshna_Rhionaeshna,Recommended by A. Rehn,Rename in input,,0,CB
Aeshna/ Rhionaeshna,L,48,GenusComplex,Arthropoda,Insecta,Odonata,Aeshnidae,,,,,P,5,Hexapoda,NA,,,,NA,Aeshna/ Rhionaeshna,,,Aeshna/ Rhionaeshna,Aeshna/ Rhionaeshna,,Aeshna_Rhionaeshna,Recommended by A. Rehn,Rename in input,,0,CB
Aeshnidae,L,40,Family,Arthropoda,Insecta,Odonata,Aeshnidae,,,,,P,5,Hexapoda,NA,,,,NA,,,,Aeshnidae,Aeshnidae,Ambiguous,Ambiguous,,,,0,CB
Agabinus glabrellus,A,60,Species,Arthropoda,Insecta,Coleoptera,Dytiscidae,Colymbetinae,,Agabinus,Agabinus glabrellus,P,5,Hexapoda,NA,,,,NA,,,,Agabinus,Agabinus,Agabinus,Agabinus,,,,0,SW
Agabinus glabrellus,L,60,Species,Arthropoda,Insecta,Coleoptera,Dytiscidae,Colymbetinae,,Agabinus,Agabinus glabrellus,P,5,Hexapoda,NA,,,,NA,,,,Agabinus,Agabinus,Agabinus,Agabinus,,,,0,SW
Agabinus sculpturellus,A,60,Species,Arthropoda,Insecta,Coleoptera,Dytiscidae,Colymbetinae,,Agabinus,Agabinus sculpturellus,P,5,Hexapoda,NA,,,,NA,,,,Agabinus,Agabinus,,Agabinus,,,,0,SW
Agabinus sculpturellus,L,60,Species,Arthropoda,Insecta,Coleoptera,Dytiscidae,Colymbetinae,,Agabinus,Agabinus sculpturellus,P,5,Hexapoda,NA,,,,NA,,,,Agabinus,Agabinus,,Agabinus,,,,0,SW
Agabinus,A,50,Genus,Arthropoda,Insecta,Coleoptera,Dytiscidae,Colymbetinae,,Agabinus,,P,5,Hexapoda,NA,,,,NA,,,,Agabinus,Agabinus,Agabinus,Agabinus,,,,0,SW
Agabinus,L,50,Genus,Arthropoda,Insecta,Coleoptera,Dytiscidae,Colymbetinae,,Agabinus,,P,5,Hexapoda,NA,,,,NA,,,,Agabinus,Agabinus,Agabinus,Agabinus,,,,0,SW
Agabus ambiguus,A,60,Species,Arthropoda,Insecta,Coleoptera,Dytiscidae,Colymbetinae,,Agabus,Agabus ambiguus,P,8,Hexapoda,NA,,,,NA,,,,Agabus,Agabus,,Agabus,,,,0,SW
Agabus ambiguus,L,60,Species,Arthropoda,Insecta,Coleoptera,Dytiscidae,Colymbetinae,,Agabus,Agabus ambiguus,P,8,Hexapoda,NA,,,,NA,,,,Agabus,Agabus,,Agabus,,,,0,SW
Agabus ancillus,A,60,Species,Arthropoda,Insecta,Coleoptera,Dytiscidae,Colymbetinae,,Agabus,Agabus ancillus,P,8,Hexapoda,NA,,,,NA,,,,Agabus,Agabus,,Agabus,,,,0,SW
Agabus ancillus,L,60,Species,Arthropoda,Insecta,Coleoptera,Dytiscidae,Colymbetinae,,Agabus,Agabus ancillus,P,8,Hexapoda,NA,,,,NA,,,,Agabus,Agabus,,Agabus,,,,0,SW
Agabus anthracinus,A,60,Species,Arthropoda,Insecta,Coleoptera,Dytiscidae,Colymbetinae,,Agabus,Agabus anthracinus,P,8,Hexapoda,NA,,,,NA,,,,Agabus,Agabus,,Agabus,,,,0,SW
